1,1995,8.3,81,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,191796233,USA,30000000
74,1996,6.1,87,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon,37905900,USA,0
76,1995,6.4,108,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin,5781885,Canada,20000000
77,1995,7.3,0,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen,209951,Germany,0
78,1995,6.3,111,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston,832910,USA,9000000
79,1996,5.6,118,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt,44834712,USA,44000000
80,1995,7.8,85,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy,474047,Iran,150000
81,1995,6.8,115,Gary Fleder,Andy Garcia|Christopher Walken|Christopher Lloyd,529766,USA,7000000
82,1995,7.5,102,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop,4823217,Netherlands,1500000
83,1995,7.2,115,Tim Reid,Al Freeman Jr.|Phylicia Rashad|Leon,3375000,USA,0
84,1995,6.0,108,Henry Jaglom,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz,402091,USA,0
85,1995,7.0,116,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit,5304000,UK,0
86,1996,6.6,129,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage,10300000,USA,38000000
87,1996,5.3,88,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd,18838000,USA,0
88,1996,6.2,87,Penelope Spheeris,Chris Farley|David Spade|Tim Matheson,32377000,USA,0
89,1995,6.3,90,John Badham,Johnny Depp|Christopher Walken|Courtney Chase,8169363,USA,33000000
92,1996,5.8,108,Stephen Frears,Julia Roberts|John Malkovich|George Cole,5600000,USA,47000000
93,1995,4.5,100,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne,19900000,USA,20000000
94,1996,7.2,112,Ted Demme,Matt Dillon|Timothy Hutton|Noah Emmerich,20837000,USA,0
95,1996,6.0,108,John Woo,John Travolta|Christian Slater|Samantha Mathis,70450000,USA,50000000
96,1995,7.3,99,Kenneth Branagh,Michael Maloney|Richard Briers|Hetta Charnley,346839,UK,0
97,1995,8.1,98,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui,309811,France,2590000
98,1994,5.4,105,Paul W.S. Anderson (as Paul Anderson),Sadie Frost|Jude Law|Sean Pertwee,0,UK,0
99,1995,6.6,106,Nick Broomfield,Nick Broomfield|Nina Xining Zuo|Madam Alex,0,UK,0
100,1996,6.2,111,Harold Becker,Al Pacino|John Cusack|Bridget Fonda,20300000,USA,40000000
101,1996,7.1,91,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd,1040879,USA,7000000
102,1996,3.8,96,Nick Castle,Ellen DeGeneres|Bill Pullman|Joan Cusack,12350030,USA,0
103,1996,6.0,117,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote,2780278,USA,18000000
104,1996,7.0,92,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen,38624000,USA,12000000
105,1995,7.5,135,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley,70960517,USA,24000000
107,1996,6.9,99,Brian Henson,Tim Curry|Billy Connolly|Jennifer Saunders,33609000,USA,0
108,1995,6.3,95,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani,0,USA,0
110,1995,8.4,178,Mel Gibson,Mel Gibson|Sophie Marceau|Patrick McGoohan,75600000,USA,72000000
111,1976,8.3,113,Martin Scorsese,Robert De Niro|Jodie Foster|Cybill Shepherd,0,USA,1300000
112,1995,6.7,104,Stanley Tong,Jackie Chan|Anita Mui|Françoise Yip,32333860261996,Hong,7500000
113,1996,6.1,108,Barbet Schroeder,Meryl Streep|Liam Neeson|Edward Furlong,17292000,USA,35000000
114,1995,7.3,114,Mort Ransen,Helena Bonham Carter|Kate Nelligan|Clive Russell,524963,Canada,0
116,1995,8.1,122,Jon Blair,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper,1310200,UK,0
117,1995,7.1,99,Benjamin Ross,Hugh O'Conor|Antony Sher|Tobias Arnold,749812,UK,0
118,1996,4.9,92,Eric Schaeffer,Sarah Jessica Parker|Eric Schaeffer|Ben Stiller,4635344,USA,5000000
119,1995,4.8,0,Andrew Davis,Andy Garcia|Alan Arkin|Rachel Ticotin,6278139,USA,25000000
121,1992,7.7,93,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley,204540,Canada,0
122,1992,5.4,117,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry,70100000,USA,40000000
123,1994,8.1,102,Kar-Wai Wong (as Kar Wai Wong),Brigitte Lin|Takeshi Kaneshiro|Tony Chiu-Wai Leung,600200,Hong,0
124,1995,7.4,113,Giuseppe Tornatore,Sergio Castellitto|Tiziana Lodato|Franco Scaldati,116797,Italy,0
125,1996,6.8,92,David O. Russell,Ben Stiller|Patricia Arquette|Téa Leoni,14891000,USA,7000000
126,1994,3.1,0,Peter MacDonald (as Peter Macdonald),Jason James Richter|Melody Kay|Jack Black,0,Germany,17000000
129,1996,5.8,95,Bryan Gordon,Josh Charles|Anne Heche|John Goodman,0,USA,0
130,1995,6.5,99,Rebecca Miller,Miranda Rhyne|Charlotte Eve Blythe|Anna Levine,0,USA,0
131,1995,6.7,101,Michael Lindsay-Hogg,Matt Dillon|Anne Parillaud|Gabriel Byrne,78168,France,0
132,1995,5.2,95,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri,9795017,USA,50000000
135,1996,6.0,92,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider,25800000,USA,0
137,1995,6.0,86,Dirk Shafer,Vivian Paxton|Claudette Sutherland|Michael Ornstein,0,USA,0
140,1996,6.1,124,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing,5104580121996,USA,60000000
141,1996,7.0,117,Mike Nichols,Robin Williams|Nathan Lane|Gene Hackman,123986682161996,USA,31000000
144,1995,6.6,98,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns,10246600,USA,25000
145,1995,6.8,119,Michael Bay,Will Smith|Martin Lawrence|Lisa Boyle,65807024,USA,19000000
146,1995,5.8,0,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding,7506759,USA,0
147,1995,7.3,102,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol,2424439,USA,0
148,1995,6.0,112,Mike Newell,Hugh Grant|Alan Rickman|Georgina Cates,258195,UK,4000000
149,1994,7.0,105,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn,856422,USA,2300000
150,1995,7.6,140,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon,172071312,USA,52000000
151,1995,6.9,139,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt,31600000,USA,28000000
152,1995,6.4,82,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra,302393,USA,0
153,1995,5.4,121,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey,184031112,USA,100000000
154,1967,7.8,100,Luis Buñuel (as Luis Bunuel),Catherine Deneuve|Jean Sorel|Michel Piccoli,0,France,0
155,1995,6.6,100,John Boorman,Patricia Arquette|U Aung Ko|Frances McDormand,5750110,UK,23000000
156,1995,6.7,83,"Paul Auster,",Harvey Keitel|Lou Reed|Michael J. Fox,1275999,USA,2000000
157,1995,5.9,91,Michael Moore,John Candy|Alan Alda|Rhea Perlman,178104,USA,11000000
158,1995,6.0,100,Brad Silberling,Bill Pullman|Christina Ricci|Cathy Moriarty,100328194,USA,50000000
159,1995,6.9,128,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo,13040603,USA,25000000
160,1995,5.1,109,Frank Marshall,Laura Linney|Tim Curry|Dylan Walsh,81022333,USA,50000000
161,1995,7.3,116,Tony Scott,Gene Hackman|Denzel Washington|Matt Craven,91400000,USA,53000000
162,1994,8.0,119,Terry Zwigoff,Robert Crumb|Aline Kominsky|Charles Crumb,3174695,USA,0
163,1995,7.2,104,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida,25625110,USA,7000000
164,1995,6.7,102,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals,16030096,USA,27000000
165,1995,7.6,128,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson,100012500,USA,90000000
166,1995,5.9,83,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech,259319,USA,0
167,1995,6.3,116,Christopher Menaul,Embeth Davidtz|Tom Bell|Gemma Jones,293274,USA,0
168,1995,5.9,134,Jerry Zucker,Sean Connery|Richard Gere|Julia Ormond,37600435,USA,55000000
169,1995,4.9,95,Dwight H. Little,Jason James Richter|Michael Madsen|Francis Capra,30077111,France,0
170,1995,6.2,107,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford,7564000,USA,20000000
171,1995,6.7,92,Christopher Ashley,Steven Weber|Michael T. Weiss|Peter Jacobson,3487767,USA,0
172,1995,5.6,0,Robert Longo,Keanu Reeves|Dolph Lundgren|Dina Meyer,19076000,Canada,25000000
173,1995,5.5,96,Danny Cannon,Sylvester Stallone|Armand Assante|Rob Schneider,34694000,USA,70000000
174,1995,4.1,88,John Fortenberry,Pauly Shore|Tia Carrere|Stanley Tucci,17014653,USA,0
175,1995,7.0,91,Larry Clark,Leo Fitzpatrick|Justin Pierce|Chloë Sevigny,7417210,USA,1500000
176,1995,7.6,90,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney,1148752,USA,500000
177,1995,6.0,109,Clive Barker,Scott Bakula|Kevin J. O'Connor|Joseph Latimore,13293081,USA,12000000
178,1993,6.7,100,Denys Arcand,Thomas Gibson|Ruth Marshall|Cameron Bancroft,953755,Canada,0
179,1995,5.3,93,Antonia Bird,Chris O'Donnell|Drew Barrymore|Matthew Lillard,15453274,USA,0
180,1995,7.2,94,Kevin Smith,Shannen Doherty|Jeremy London|Jason Lee,2122561,USA,6000000
181,1995,5.1,95,Bryan Spicer,Karan Ashley|Johnny Yong Bosch|Steve Cardenas,37804616,USA,15000000
183,1995,6.8,95,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards,1204430,Russia,2000000
184,1994,6.0,93,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner,446934,USA,1000000
185,1995,5.9,114,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller,50728000,USA,22000000
186,1995,5.4,103,Chris Columbus,Hugh Grant|Julianne Moore|Tom Arnold,69700000,USA,0
187,1995,6.6,94,Daisy von Scherler Mayer,Parker Posey|Omar Townsend|Anthony DeSando,472370,USA,150000
188,1995,6.6,98,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen,16115878,USA,8000000
189,1995,5.1,91,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios,103351,USA,0
190,1995,7.2,119,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris,512245,UK,1000000
191,1995,5.2,135,Roland Joffé,Demi Moore|Gary Oldman|Robert Duvall,10400000,USA,50000000
193,1995,4.6,128,Paul Verhoeven (as Jan Jansen),Elizabeth Berkley|Kyle MacLachlan|Gina Gershon,20302961,France,45000000
194,1995,7.4,112,"Wayne Wang,",Harvey Keitel|William Hurt|Giancarlo Esposito,8349430,Germany,7000000
195,1995,5.7,106,Lasse Hallström (as Lasse Hallstrom),Julia Roberts|Dennis Quaid|Robert Duvall,50892160,USA,0
196,1995,5.8,108,Roger Donaldson,Natasha Henstridge|Michael Madsen|Ben Kingsley,60054449,USA,35000000
198,1995,7.2,145,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis,7919000,USA,42000000
199,1964,7.8,91,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon,18425132004,France,0
200,1995,5.0,99,Wesley Strick,Daryl Hannah|Keith Carradine|Moira Kelly,5780000,USA,0
201,1995,6.2,115,Martha Coolidge,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello,7025496,USA,0
202,1995,6.6,111,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer,339889,UK,8000000
203,1995,6.4,109,Beeban Kidron,Wesley Snipes|Patrick Swayze|John Leguizamo,36475691,USA,0
204,1995,5.4,100,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill,50024083,USA,60000000
205,1995,6.7,93,Diane Keaton,Andie MacDowell|John Turturro|Michael Richards,7929241,USA,0
206,1995,6.4,73,Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard,2875086,USA,0
207,1995,6.6,102,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn,50012507,USA,20000000
208,1995,6.1,135,Kevin Reynolds,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper,88246220,USA,175000000
209,1995,5.2,89,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch,3760515,France,7000000
211,1994,7.3,97,Mike Figgis,Albert Finney|Greta Scacchi|Matthew Modine,464423,UK,0
213,1994,8.0,135,Nikita Mikhalkov,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov,2616503,Russia,2800000
214,1994,8.1,113,Milcho Manchevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin,763847,Republic,1900000
215,1995,8.1,101,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert,5400000,USA,2500000
216,1995,6.4,89,Tamra Davis,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras,25588750,USA,10000000
217,1995,4.2,90,Guy Ferland,Alicia Silverstone|Jeremy London|J.T. Walsh,0,USA,2000000
218,1995,6.4,115,Herbert Ross,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore,23450000,USA,21000000
219,1995,7.7,97,Peter Horton,Joseph Mazzello|Brad Renfro|Aeryk Egan,2568429,USA,0
220,1995,5.9,90,Stuart Gordon,Jeffrey Combs|Barbara Crampton|Jonathan Fuller,0,USA,0
222,1995,6.6,103,Pat O'Connor,Chris O'Donnell|Minnie Driver|Geraldine O'Rawe,23397365,Ireland,0
223,1994,7.8,92,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti,3151130,USA,230000
224,1994,6.7,97,Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway,22200000,USA,25000000
225,1994,6.0,128,Barry Levinson,Michael Douglas|Demi Moore|Donald Sutherland,83000000,USA,55000000
227,1994,5.6,101,John Badham,Wesley Snipes|Gary Busey|Yancy Butler,28720380,USA,45000000
228,1995,4.5,102,Jack Baran,Dylan McDermott|Nancy Travis|Quentin Tarantino,1176982,USA,0
229,1994,7.3,103,Roman Polanski,Sigourney Weaver|Ben Kingsley|Stuart Wilson,2104000,UK,12000000
230,1995,7.4,132,Taylor Hackford,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer,24361867,USA,0
231,1994,7.3,107,"Peter Farrelly,",Jim Carrey|Jeff Daniels|Lauren Holly,127175354,USA,16000000
232,1994,7.8,124,Ang Lee,Sihung Lung|Yu-Wen Wang|Chien-Lien Wu,7294403,Taiwan,0
233,1994,7.2,103,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar,5132222,Canada,2000000
234,1994,4.1,113,Garry Marshall,Dana Delany|Dan Aykroyd|Rosie O'Donnell,6841570,USA,25000000
235,1994,7.9,127,Tim Burton,Johnny Depp|Martin Landau|Sarah Jessica Parker,5887457,USA,18000000
236,1995,6.6,111,Lawrence Kasdan,Meg Ryan|Kevin Kline|Timothy Hutton,38900000,UK,0
237,1995,6.4,101,Billy Crystal,Billy Crystal|Debra Winger|Joe Mantegna,33194500,USA,0
238,1995,6.4,81,Phillip Borsos,Jesse Bradford|Mimi Rogers|Bruce Davison,11642946,USA,0
239,1995,6.8,78,Kevin Lima,Bill Farmer|Jason Marsden|Jim Cummings,35348597,USA,0
240,1995,5.3,106,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone,12201255,USA,15000000
241,1995,6.7,96,Carlo Carlei,Matthew Modine|Nancy Travis|Samuel L. Jackson,3987649,USA,15000000
242,1994,6.9,111,Gérard Corbiau,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein,2122948,France,0
243,1995,3.9,0,Mark Lewis,Kristy Young|Doug Stone|James Donadio,3992809,USA,0
244,1995,6.3,90,Art Clokey,Dal McKennon|Art Clokey|Gloria Clokey,57100,USA,2800000
245,1994,6.6,109,Charles Burnett,Michael Boatman|Lori Petty|Erich Anderson,3313633,France,0
246,1994,8.3,170,Steve James,William Gates|Arthur Agee|Emma Gates,7830611,USA,700000
247,1994,7.4,99,Peter Jackson,Melanie Lynskey|Kate Winslet|Sarah Peirse,3049135,New,5000000
248,1995,5.9,113,Randall Miller,Sinbad|Phil Hartman|Kim Greist,26325256,USA,10500000
249,1994,7.5,121,Bernard Rose,Gary Oldman|Jeroen Krabbé|Isabella Rossellini,14351546,UK,0
250,1995,6.7,100,Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller,17689177,USA,0
251,1995,5.9,0,J.F. Lawton,Christopher Lambert|John Lone|Joan Chen,6607652,USA,10000000
252,1994,6.2,100,Fred Schepisi,Tim Robbins|Meg Ryan|Walter Matthau,26372663,USA,25000000
253,1994,7.6,123,Neil Jordan,Brad Pitt|Tom Cruise|Antonio Banderas,105264608,USA,60000000
254,1995,5.7,139,James Ivory,Nick Nolte|Greta Scacchi|Gwyneth Paltrow,2474000,USA,14000000
255,1995,4.6,0,James Melkonian,John G. Brennan|Kamal Ahmed|Alan Arkin,7557877,USA,0
256,1994,4.6,109,Ivan Reitman,Arnold Schwarzenegger|Danny DeVito|Emma Thompson,36763355,USA,60000000
257,1995,6.4,102,Arne Glimcher,Sean Connery|Laurence Fishburne|Kate Capshaw,36853222,USA,0
258,1995,4.8,89,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik,13406717,USA,15000000
259,1995,5.9,101,Barbet Schroeder,David Caruso|Samuel L. Jackson|Nicolas Cage,14942422,USA,40000000
260,1977,8.7,121,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher,46093566521997,USA,11000000
261,1994,7.3,115,Gillian Armstrong,Susan Sarandon|Winona Ryder|Kirsten Dunst,50003300,USA,15000000
262,1995,7.7,97,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham,10019307,USA,17000000
263,1994,7.5,101,Ken Loach,Crissy Rock|Vladimir Vega|Sandie Lavelle,152457,UK,0
264,1994,7.2,102,Claude Chabrol,Emmanuelle Béart|François Cluzet|Nathalie Cardone,194223,France,0
265,1992,7.2,105,Alfonso Arau,Marco Leonardi|Lumi Cavazos|Regina Torné,21665500,Mexico,2000000
266,1994,7.5,133,Edward Zwick,Brad Pitt|Anthony Hopkins|Aidan Quinn,66528842,USA,30000000
267,1995,6.2,0,Nick Castle,Damon Wayans|Michael Ironside|Scott Bigelow,29412050,USA,0
268,1994,6.8,98,James Gray,Tim Roth|Edward Furlong|Moira Kelly,1095885,USA,2300000
269,1993,6.6,92,Allison Anders,Angel Aviles|Seidy Lopez|Jacob Vargas,3269420,USA,0
270,1994,5.9,108,Glenn Gordon Caron,Warren Beatty|Annette Bening|Katharine Hepburn,18250211,USA,60000000
271,1995,6.4,111,Stephen Gyllenhaal,Jessica Lange|Halle Berry|David Strathairn,7603766,USA,17000000
272,1994,7.2,104,Nicholas Hytner,Nigel Hawthorne|Helen Mirren|Rupert Graves,15238994,UK,0
273,1994,6.4,123,Kenneth Branagh,Robert De Niro|Kenneth Branagh|Helena Bonham Carter,22024639,USA,45000000
274,1995,5.0,96,James Orr,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas,40070995,USA,0
275,1994,5.4,97,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein,6798240,USA,15000000
